S. No.,area_type,availability,location,size,society,total_sqft,bath,balcony,price,bedrooms
1,Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Coomee ,1056,2.0,1.0,3907000,2.0
2,Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2600,5.0,3.0,12000000,4.0
3,Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2.0,3.0,6200000,3.0
4,Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1521,3.0,1.0,9500000,3.0
5,Super built-up  Area,Ready To Move,Kothanur,2 BHK,,1200,2.0,1.0,5100000,2.0
6,Super built-up  Area,Ready To Move,Whitefield,2 BHK,DuenaTa,1170,2.0,1.0,3800000,2.0
7,Super built-up  Area,18-May,Old Airport Road,4 BHK,Jaades ,2732,4.0,,20400000,4.0
8,Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Brway G,3300,4.0,,60000000,4.0
9,Super built-up  Area,Ready To Move,Marathahalli,3 BHK,,1310,3.0,1.0,6325000,3.0
10,Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,,1020,6.0,,37000000,6.0
11,Super built-up  Area,18-Feb,Whitefield,3 BHK,,1800,2.0,2.0,7000000,3.0
12,Plot  Area,Ready To Move,Whitefield,4 Bedroom,Prrry M,2785,5.0,3.0,29500000,4.0
13,Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Shncyes,1000,2.0,1.0,3800000,2.0
14,Built-up  Area,Ready To Move,Gottigere,2 BHK,,1100,2.0,2.0,4000000,2.0
15,Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Skityer,2250,3.0,2.0,14800000,3.0
16,Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1175,2.0,2.0,7350000,2.0
17,Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1180,3.0,2.0,4800000,3.0
18,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1540,3.0,3.0,6000000,3.0
19,Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,PeBayle,2770,4.0,2.0,29000000,3.0
20,Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1100,2.0,2.0,4800000,2.0
21,Built-up  Area,Ready To Move,Kengeri,1 BHK,,600,1.0,1.0,1500000,1.0
